raw,type,is_cask,status,available,details
brew install starship  # Cross-shell prompt,install,formula,available,True,"{""installed"": [{""version"": ""1.24.0"", ""used_options"": [], ""built_as_bottle"": true, ""poured_from_bottle"": true, ""time"": 1762628769, ""runtime_dependencies"": [], ""installed_as_dependency"": false, ""installed_on_request"": true}], ""versions"": {""stable"": ""1.24.0"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Cross-shell prompt for astronauts""}"
brew install --cask intellij-idea-ce  # Language tool: Intellij Idea Ce app,install,cask,available,True,"{""version"": ""2025.2.4,252.27397.103"", ""deprecated"": false, ""disabled"": false, ""desc"": ""IDE for Java development - community edition""}"
brew install --cask temurin  # Language tool: Temurin app,install,cask,available,True,"{""version"": ""25.0.1,8"", ""deprecated"": false, ""disabled"": false, ""desc"": ""JDK from the Eclipse Foundation (Adoptium)""}"
brew install autoconf  # GNU configure script generator,install,formula,available,True,"{""installed"": [{""version"": ""2.72"", ""used_options"": [], ""built_as_bottle"": true, ""poured_from_bottle"": true, ""time"": 1762628684, ""runtime_dependencies"": [{""full_name"": ""m4"", ""version"": ""1.4.20"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""1.4.20"", ""declared_directly"": true}], ""installed_as_dependency"": true, ""installed_on_request"": false}], ""versions"": {""stable"": ""2.72"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Automatic configure script builder""}"
brew install automake  # GNU makefile generator,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""1.18.1"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Tool for generating GNU Standards-compliant Makefiles""}"
brew install boost  # C++ libraries collection,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""1.89.0"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Collection of portable C++ source libraries""}"
brew install carthage  # iOS/macOS dependency manager,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""0.40.0"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Decentralized dependency manager for Cocoa""}"
brew install clang-format  # C-family code formatter,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""21.1.5"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Formatting tools for C, C++, Obj-C, Java, JavaScript, TypeScript""}"
brew install cmake  # Cross-platform build system,install,formula,available,True,"{""installed"": [{""version"": ""4.1.2"", ""used_options"": [], ""built_as_bottle"": true, ""poured_from_bottle"": true, ""time"": 1762628646, ""runtime_dependencies"": [], ""installed_as_dependency"": false, ""installed_on_request"": true}], ""versions"": {""stable"": ""4.1.2"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Cross-platform make""}"
brew install composer  # PHP dependency manager,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""2.8.12"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Dependency Manager for PHP""}"
